FA,Link,C,DB,omega,elem,mass,[M-H]-,[M+FA-H]-,[M-W-H]-,[M+FA-W-H]-,NL-H2O,EXACT_ABBR,SMILES
14:0,A,14,0,0,C14H28O2,228.20893,227.2011,273.20658,245.21166,291.21714,210.19836,14:0,OC(CCCCCCCCCCCCC)=O
16:0,A,16,0,0,C16H32O2,256.24023,255.2324,301.23788,273.24296,319.24844,238.22966,16:0,OC(CCCCCCCCCCCCCCC)=O
16:1,A,16,1,6,C16H30O2,254.22458,253.21675,299.22223,271.22731,317.23279,236.21401,16:1(9Z),OC(CCCCCCC/C=C\CCCCCC)=O
18:0,A,18,0,0,C18H36O2,284.27153,283.2637,329.26918,301.27427,347.27975,266.26096,18:0,OC(CCCCCCCCCCCCCCCCC)=O
18:1,A,18,1,9,C18H34O2,282.25588,281.24805,327.25353,299.25862,345.2641,264.24531,18:1(9Z),OC(CCCCCCC/C=C\CCCCCCCC)=O
18:2,A,18,2,6,C18H32O2,280.24023,279.2324,325.23788,297.24296,343.24844,262.22966,"18:2(9Z,12Z)",OC(CCCCCCC/C=C\C/C=C\CCCCC)=O
18:3,A,18,3,3,C18H30O2,278.22458,277.21675,323.22223,295.22731,341.23279,260.21401,"18:3(9Z,12Z,15Z)",OC(CCCCCCC/C=C\C/C=C\C/C=C\CC)=O
18:3,A,18,3,6,C18H30O2,278.22458,277.21675,323.22223,295.22731,341.23279,260.21401,"18:3(6Z,9Z,12Z)",OC(CCCC/C=C\C/C=C\C/C=C\CCCCC)=O
20:3,A,20,3,6,C20H34O2,306.25588,305.24805,351.25353,323.25862,369.2641,288.24531,"20:3(8Z,11Z,14Z)",OC(CCCCCC/C=C\C/C=C\C/C=C\CCCCC)=O
20:4,A,20,4,6,C20H32O2,304.24023,303.2324,349.23788,321.24296,367.24844,286.22966,"20:4(5Z,8Z,11Z,14Z)",OC(CCC/C=C\C/C=C\C/C=C\C/C=C\CCCCC)=O
20:5,A,20,5,3,C20H30O2,302.22458,301.21675,347.22223,319.22731,365.23279,284.21401,"20:5(5Z,8Z,11Z,14Z,17Z)",OC(CCC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC)=O
22:4,A,22,4,6,C22H36O2,332.27153,331.2637,377.26918,349.27427,395.27975,314.26096,"22:4(7Z,10Z,13Z,16Z)",OC(CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCCC)=O
22:5,A,22,5,3,C22H34O2,330.25588,329.24805,375.25353,347.25862,393.2641,312.24531,"22:5(7Z,10Z,13Z,16Z,19Z)",OC(CCCCC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC)=O
22:5,A,22,5,6,C22H34O2,330.25588,329.24805,375.25353,347.25862,393.2641,312.24531,"22:5(4Z,7Z,10Z,13Z,16Z)",OC(CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCCCC)=O
22:6,A,22,6,3,C22H32O2,328.24023,327.2324,373.23788,345.24296,391.24844,310.22966,"22:6(4Z,7Z,10Z,13Z,16Z,19Z)",OC(CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC)=O
O-16:0,O,16,0,0,C16H34O,242.26097,241.25314,287.25862,223.24258,269.24805,224.2504,O-16:0,OCCCCCCCCCCCCCCCC
O-18:0,O,18,0,0,C18H38O,270.29227,269.28444,315.28992,251.27388,297.27935,252.2817,O-18:0,OCCCCCCCCCCCCCCCCCC
O-20:0,O,20,0,0,C20H42O,298.32357,297.31574,343.32122,279.30518,325.31065,280.313,O-20:0,OCCCCCCCCCCCCCCCCCCCC
P-16:0,P,16,0,0,C16H32O,240.24532,239.23749,285.24297,221.22693,267.2324,222.23475,P-16:0,O/C=C\CCCCCCCCCCCCCC
P-18:0,P,18,0,0,C18H36O,268.27662,267.26879,313.27427,249.25823,295.2637,250.26605,P-18:0,O/C=C\CCCCCCCCCCCCCCCC
P-20:0,P,20,0,0,C20H40O,296.30792,295.30009,341.30557,277.28953,323.295,278.29735,P-20:0,O/C=C\CCCCCCCCCCCCCCCCCC